,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_boosting_type,param_max_depth,param_min_split_gain,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_subsample,param_subsample_freq,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score,rank_train_score
0,24.569330549240114,2.565291468209793,4.675107336044311,1.3735988707529356,gbdt,71,0.1,640,660,0.01,0.001,0.7000000000000001,10,"OrderedDict([('boosting_type', 'gbdt'), ('max_depth', 71), ('min_split_gain', 0.1), ('n_estimators', 640), ('num_leaves', 660), ('reg_alpha', 0.01), ('reg_lambda', 0.001), ('subsample', 0.7000000000000001), ('subsample_freq', 10)])",-557.3614293308772,-543.4457029857655,-640.5678937576613,-572.7275212584685,-610.197316521744,-561.3486882772146,-615.5184671145539,-544.0609896662666,-566.5317231020836,-564.1538452731005,-577.5913577287736,31.236970185634636,11,-112.48918881774689,-110.9028629794533,-109.83249956912123,-110.05025523201587,-108.32263926802005,-108.58272679680339,-108.1572442474455,-108.357859092758,-106.11111831274063,-109.11775711540342,-109.19241514315081,1.6533663437983845,2
1,26.595261001586913,2.9848713533964846,8.114549493789672,2.7059637659818927,rf,81,0.001,1840,840,0.0001,0.001,0.30000000000000004,30,"OrderedDict([('boosting_type', 'rf'), ('max_depth', 81), ('min_split_gain', 0.001), ('n_estimators', 1840), ('num_leaves', 840), ('reg_alpha', 0.0001), ('reg_lambda', 0.001), ('subsample', 0.30000000000000004), ('subsample_freq', 30)])",-595.2336749032369,-600.7844974894223,-715.2967431551741,-658.4010621464283,-680.619520827779,-651.976258690089,-654.8498773836183,-587.937532863568,-620.9739107936102,-631.3143777663685,-639.7387456019294,38.35521251449377,17,-608.3941882652117,-617.1882037619852,-608.3304327295148,-619.8842862407655,-618.4758483134692,-612.6305106295924,-609.679186534057,-617.6939735803707,-617.2137050608249,-618.2121594303101,-614.7702494546102,4.297900885007597,18
2,18.02457368373871,2.1114234084386663,3.6146842002868653,1.1418681328854698,gbdt,81,0.0001,840,200,0.01,0.001,0.7000000000000001,20,"OrderedDict([('boosting_type', 'gbdt'), ('max_depth', 81), ('min_split_gain', 0.0001), ('n_estimators', 840), ('num_leaves', 200), ('reg_alpha', 0.01), ('reg_lambda', 0.001), ('subsample', 0.7000000000000001), ('subsample_freq', 20)])",-564.4979433960041,-543.2507177490013,-625.7666777397878,-565.4011783575586,-604.4858412311843,-568.4862943721504,-609.9834818504019,-552.6005976943097,-564.8619849832488,-563.7219320483745,-576.3056649422022,25.76441351546903,10,-144.17996706899334,-146.13141417471942,-144.25119634622035,-143.17639572265554,-142.27969619930423,-143.08132714152939,-145.10883815368325,-143.81141167904067,-143.47346233295838,-143.0411415213614,-143.85348503404663,1.0661714626627283,3
3,27.220096707344055,4.423535949339666,6.430346584320068,1.9556031548103967,rf,21,0.01,1540,520,0.0001,0.1,0.7000000000000001,40,"OrderedDict([('boosting_type', 'rf'), ('max_depth', 21), ('min_split_gain', 0.01), ('n_estimators', 1540), ('num_leaves', 520), ('reg_alpha', 0.0001), ('reg_lambda', 0.1), ('subsample', 0.7000000000000001), ('subsample_freq', 40)])",-569.3456794650285,-562.0249641663245,-667.1691613715109,-605.8322842735915,-634.9510159189518,-611.3736020892765,-624.3912680472802,-558.0885521291995,-578.231129177735,-593.9848794746041,-600.5392536113502,33.3722874827316,15,-559.6922862656999,-561.7948373296172,-543.1635119673597,-558.2806463886493,-554.5065675025777,-554.2272748913432,-551.3642392487981,-558.747608338996,-555.9958135220893,-555.4560498692925,-555.3228835324423,4.9730619032324235,17
4,38.28548893928528,5.816258086747635,7.816154479980469,1.9466200801092166,rf,41,0.01,1440,880,0.1,0.01,0.7000000000000001,10,"OrderedDict([('boosting_type', 'rf'), ('max_depth', 41), ('min_split_gain', 0.01), ('n_estimators', 1440), ('num_leaves', 880), ('reg_alpha', 0.1), ('reg_lambda', 0.01), ('subsample', 0.7000000000000001), ('subsample_freq', 10)])",-561.19613782882,-551.2529064527114,-664.0354530877389,-599.1746778418758,-623.0296288519585,-601.4561026287246,-614.6564239843917,-549.5443741425975,-571.6488830495402,-584.73291518925,-592.0727503057608,34.182979793942266,13,-542.9999972447423,-547.6804184895811,-528.7615509553711,-543.3311068995041,-539.2038769963287,-540.6163781041242,-537.8207317273481,-542.7951491463675,-541.8325701817652,-540.3736984629852,-540.5415478208117,4.685390571735954,15
5,17.750101137161256,1.7620738432339078,2.29858136177063,0.5978854744012155,gbdt,81,0.0001,440,780,0.001,0.01,0.5000000000000001,30,"OrderedDict([('boosting_type', 'gbdt'), ('max_depth', 81), ('min_split_gain', 0.0001), ('n_estimators', 440), ('num_leaves', 780), ('reg_alpha', 0.001), ('reg_lambda', 0.01), ('subsample', 0.5000000000000001), ('subsample_freq', 30)])",-567.6961537481127,-560.0770874588385,-639.8492382734552,-557.9399780298941,-605.3664757225716,-575.7217383406906,-594.0312326042271,-548.2479586104963,-577.3886617704087,-558.7760512956183,-578.5094575854313,26.303555123234766,12,-258.2428112048724,-254.2141123160567,-248.6432727208084,-247.33818034678094,-249.4164429007692,-247.3215175677944,-248.16857420246112,-249.07756750911548,-248.90098072550092,-249.17689405696308,-250.05003535511227,3.2895104881923523,5
6,66.46188397407532,7.718708336971655,12.116788005828857,2.629744941558435,gbdt,71,0.001,1740,580,0.01,0.1,0.5000000000000001,30,"OrderedDict([('boosting_type', 'gbdt'), ('max_depth', 71), ('min_split_gain', 0.001), ('n_estimators', 1740), ('num_leaves', 580), ('reg_alpha', 0.01), ('reg_lambda', 0.1), ('subsample', 0.5000000000000001), ('subsample_freq', 30)])",-596.3768809894643,-581.0259737798008,-673.1795481995216,-575.8477881806226,-630.5614960311599,-597.0693665169804,-627.366476248416,-575.4256315652964,-590.7573882521731,-597.9337470639001,-604.5544296827336,29.136575823327163,16,-102.95255346881157,-100.64148815175633,-101.7444674834104,-104.34494440308276,-98.69065141617203,-100.45983585510112,-104.25465653743552,-102.3406777324606,-99.0745107619389,-102.92563758062839,-101.74294233907976,1.8866613511005037,1
7,29.846237564086913,2.992411754762779,6.361903834342956,1.8001856992797356,gbdt,81,0.001,1640,340,0.0001,0.01,0.1,20,"OrderedDict([('boosting_type', 'gbdt'), ('max_depth', 81), ('min_split_gain', 0.001), ('n_estimators', 1640), ('num_leaves', 340), ('reg_alpha', 0.0001), ('reg_lambda', 0.01), ('subsample', 0.1), ('subsample_freq', 20)])",-638.3392961889739,-611.3139538362609,-725.4210765466997,-625.1883061869505,-662.5316023449034,-662.949634308156,-689.2108895914813,-622.0163468012192,-639.5361406053019,-641.4810190363754,-651.7988265446322,32.75906215713706,19,-490.6548237024875,-490.74404106778303,-476.7664451720439,-485.43822364243823,-481.3588140024577,-491.5060008469987,-473.2194107253162,-494.8265361236634,-474.4114157906477,-481.5398640728235,-484.046557514666,7.340871969754878,14
8,10.87287380695343,1.443775390438284,2.433402252197266,0.9040576381844792,rf,61,0.1,840,380,0.001,0.0001,0.30000000000000004,20,"OrderedDict([('boosting_type', 'rf'), ('max_depth', 61), ('min_split_gain', 0.1), ('n_estimators', 840), ('num_leaves', 380), ('reg_alpha', 0.001), ('reg_lambda', 0.0001), ('subsample', 0.30000000000000004), ('subsample_freq', 20)])",-593.7859119908637,-601.0691505418214,-712.421318720605,-659.0691517907085,-684.6079341331881,-654.2296385932516,-655.8821406489953,-591.413680685213,-621.35326567724,-636.197364842812,-641.0029557624699,37.96993241501224,18,-609.5240876137558,-617.487026353628,-606.7824836702174,-622.040469573811,-620.873262737833,-614.6982247744618,-611.3709593933895,-621.5226579050249,-618.0949832519315,-621.1052160307411,-616.3499371304795,5.217252820110671,19
9,119.61250913143158,16.84185877701337,1.896028757095337,0.7656437883160219,dart,71,0.01,540,580,0.001,0.001,0.30000000000000004,40,"OrderedDict([('boosting_type', 'dart'), ('max_depth', 71), ('min_split_gain', 0.01), ('n_estimators', 540), ('num_leaves', 580), ('reg_alpha', 0.001), ('reg_lambda', 0.001), ('subsample', 0.30000000000000004), ('subsample_freq', 40)])",-540.8572731438555,-534.431450560441,-619.346523093478,-540.1183842778846,-583.7801575939383,-555.928264006636,-590.6373880016126,-514.4214583406882,-549.8724250053676,-558.7685443169678,-558.8161868340869,29.369510063559407,6,-449.00236818058767,-449.38963707752777,-438.3386055894956,-445.3131171579325,-444.2724430199672,-447.1899790379092,-444.6381439797605,-451.38611613710356,-447.54557369879115,-452.3673563570224,-446.9443340236097,3.859435013153902,11
10,125.70644841194152,19.600570610737424,1.6821617126464843,0.6938439340900411,dart,61,0.01,540,720,0.001,0.001,0.30000000000000004,40,"OrderedDict([('boosting_type', 'dart'), ('max_depth', 61), ('min_split_gain', 0.01), ('n_estimators', 540), ('num_leaves', 720), ('reg_alpha', 0.001), ('reg_lambda', 0.001), ('subsample', 0.30000000000000004), ('subsample_freq', 40)])",-540.8572731438555,-534.431450560441,-619.346523093478,-540.1183842778846,-583.7801575939383,-555.928264006636,-590.6373880016126,-514.4214583406882,-549.8724250053676,-558.7685443169678,-558.8161868340869,29.369510063559407,6,-449.00236818058767,-449.38963707752777,-438.3386055894956,-445.3131171579325,-444.2724430199672,-447.1899790379092,-444.6381439797605,-451.38611613710356,-447.54557369879115,-452.3673563570224,-446.9443340236097,3.859435013153902,11
11,11.805752301216126,1.6228234723037676,1.4876408576965332,0.5440784716772853,rf,51,0.01,440,920,0.001,0.01,0.7000000000000001,10,"OrderedDict([('boosting_type', 'rf'), ('max_depth', 51), ('min_split_gain', 0.01), ('n_estimators', 440), ('num_leaves', 920), ('reg_alpha', 0.001), ('reg_lambda', 0.01), ('subsample', 0.7000000000000001), ('subsample_freq', 10)])",-563.1935857905602,-552.470287316844,-664.0659067653066,-601.0430201004541,-624.8760798042166,-602.7305642654478,-616.467850860393,-551.8087922637036,-571.0745420783578,-586.2766918064948,-593.4007321051779,33.953909781116465,14,-544.6641217173196,-548.0984033245568,-529.8436311603328,-544.5142341017041,-540.4117195838355,-541.1877269347582,-538.7046518621812,-545.1661391448577,-542.7157288297224,-541.6838560117993,-541.6990212671068,4.713377298362687,16
12,184.21628513336182,26.050566126004497,2.1777352333068847,0.9434868626548284,dart,41,0.01,940,260,0.001,0.0001,0.5000000000000001,30,"OrderedDict([('boosting_type', 'dart'), ('max_depth', 41), ('min_split_gain', 0.01), ('n_estimators', 940), ('num_leaves', 260), ('reg_alpha', 0.001), ('reg_lambda', 0.0001), ('subsample', 0.5000000000000001), ('subsample_freq', 30)])",-518.3115082639038,-518.0251736462129,-599.8795743652653,-537.6442374755416,-568.4127301888367,-549.7139961216188,-585.2498741950925,-509.10167868956216,-544.2857959304678,-538.4385565484831,-546.9063125424984,28.27036198083637,2,-302.0665095255366,-301.21885760013487,-299.80884229771004,-301.4445083675099,-299.4542390733542,-299.4492876241309,-298.021422075901,-302.34939333531764,-300.9648426903421,-299.5152482749001,-300.42931508648377,1.3129193094975464,9
13,22.717642259597778,2.70723192439455,0.15593998432159423,0.026940005622038132,dart,41,0.01,340,120,0.1,0.0001,0.5000000000000001,0,"OrderedDict([('boosting_type', 'dart'), ('max_depth', 41), ('min_split_gain', 0.01), ('n_estimators', 340), ('num_leaves', 120), ('reg_alpha', 0.1), ('reg_lambda', 0.0001), ('subsample', 0.5000000000000001), ('subsample_freq', 0)])",-556.4888991633833,-539.677052205601,-626.1977480537261,-573.9188376182694,-594.5535624193861,-561.8884602788913,-611.4231856521368,-529.7007615806475,-573.203385456563,-557.4319349103012,-572.4483827338905,28.969692391522948,9,-453.4319974092929,-453.99566914252574,-448.44138290882034,-451.5233205141563,-450.15310830310096,-453.90608258279764,-450.2613986482029,-454.5102903138708,-451.9877554097637,-453.19695467629793,-452.1407959908829,1.9112131757088004,13
14,13.423084092140197,2.379317800527742,0.08678476810455323,0.019038221072695705,dart,1,0.01,1340,180,0.001,0.1,0.5000000000000001,10,"OrderedDict([('boosting_type', 'dart'), ('max_depth', 1), ('min_split_gain', 0.01), ('n_estimators', 1340), ('num_leaves', 180), ('reg_alpha', 0.001), ('reg_lambda', 0.1), ('subsample', 0.5000000000000001), ('subsample_freq', 10)])",-1027.6919717062542,-1070.5462685250998,-1125.9524605429026,-1090.8627823243746,-1092.6683718208496,-1090.326816187018,-1099.346158595178,-1048.624375756209,-1060.8380182758447,-1065.4360789913455,-1077.229330272508,26.80203199411652,20,-1075.4519946037808,-1071.244453547508,-1065.7664980368118,-1069.6285577081474,-1069.7287967457726,-1068.5000495565123,-1069.5563977407019,-1074.6450505811154,-1073.448716976245,-1072.6153325232476,-1071.0585848019841,2.8453065494446976,20
15,9.235518288612365,0.9266707673354169,1.0549911499023437,0.22459517957329314,gbdt,51,0.0001,340,540,0.0001,0.1,0.5000000000000001,20,"OrderedDict([('boosting_type', 'gbdt'), ('max_depth', 51), ('min_split_gain', 0.0001), ('n_estimators', 340), ('num_leaves', 540), ('reg_alpha', 0.0001), ('reg_lambda', 0.1), ('subsample', 0.5000000000000001), ('subsample_freq', 20)])",-556.6077892577946,-532.1933736941771,-641.1234483438972,-541.6075948819837,-595.6374672914433,-561.9417448805898,-583.7758086658501,-538.292967129487,-549.7487374616309,-553.4162258930374,-565.4345157499891,31.41239986072588,8,-285.1537137404955,-282.50866709376464,-280.35720828097493,-275.9066393222043,-273.62160803653893,-279.81445584300303,-277.26285925364954,-279.40746711602446,-276.8444954762271,-274.9983380202929,-278.5875452183176,3.366337281294281,7
16,4.667149782180786,0.6292185910710373,0.4486245155334473,0.12025966788671494,gbdt,11,0.1,640,160,0.1,0.001,0.7000000000000001,10,"OrderedDict([('boosting_type', 'gbdt'), ('max_depth', 11), ('min_split_gain', 0.1), ('n_estimators', 640), ('num_leaves', 160), ('reg_alpha', 0.1), ('reg_lambda', 0.001), ('subsample', 0.7000000000000001), ('subsample_freq', 10)])",-535.6469896879883,-523.4459697727905,-616.5245174925229,-542.3732233565302,-588.5446566907868,-543.6153433646906,-597.9332049096147,-532.505290905033,-540.8943257208177,-544.1044579204355,-556.558797982121,30.351949468988675,5,-286.54724582530247,-292.5785922061515,-293.2508916916599,-296.2073594318236,-284.11505767990843,-284.71002868423096,-289.1594164887736,-282.3090336436894,-283.91782208360206,-287.779850688902,-288.0575298424044,4.408335194467096,8
17,214.11810119152068,29.291773179820055,3.457395076751709,1.3519676227991364,dart,11,0.01,940,500,0.001,0.001,0.5000000000000001,30,"OrderedDict([('boosting_type', 'dart'), ('max_depth', 11), ('min_split_gain', 0.01), ('n_estimators', 940), ('num_leaves', 500), ('reg_alpha', 0.001), ('reg_lambda', 0.001), ('subsample', 0.5000000000000001), ('subsample_freq', 30)])",-516.5894183248208,-512.4317713196572,-602.0812520261401,-531.2750168180575,-559.3760285462984,-543.2478087822009,-575.0951631515242,-506.48821699112466,-536.8150742384535,-524.3161540122063,-540.7715904210484,28.686463414084056,1,-341.8095768263433,-341.1013103480673,-338.83407420121847,-339.9948933675013,-340.6427884786425,-342.42182955446174,-337.8161848065695,-342.5457249013948,-338.22948857570935,-338.23666287438766,-340.16325339342956,1.7132604334537613,10
18,224.80134258270263,30.722448323711703,3.895182704925537,1.3903576084673106,dart,51,0.1,940,480,0.001,0.001,0.7000000000000001,30,"OrderedDict([('boosting_type', 'dart'), ('max_depth', 51), ('min_split_gain', 0.1), ('n_estimators', 940), ('num_leaves', 480), ('reg_alpha', 0.001), ('reg_lambda', 0.001), ('subsample', 0.7000000000000001), ('subsample_freq', 30)])",-530.3208402342701,-521.7047377566626,-597.4315752931662,-551.9755433905883,-580.2437512181588,-539.1947367153657,-587.8739056765854,-510.21321785576623,-546.144543443474,-533.7903341650571,-549.8893185749095,27.870957242141298,3,-233.5422361415489,-235.36111877278637,-233.50930473573885,-233.578269473866,-232.80665191319883,-234.2867308189024,-232.02115934994967,-235.0235879773125,-232.7616507427323,-234.80678160228575,-233.76974915283216,1.0298018419917025,4
19,309.66202597618104,37.72814694373392,5.694105434417724,2.0056389714215426,dart,81,0.001,1140,500,0.001,0.001,0.5000000000000001,30,"OrderedDict([('boosting_type', 'dart'), ('max_depth', 81), ('min_split_gain', 0.001), ('n_estimators', 1140), ('num_leaves', 500), ('reg_alpha', 0.001), ('reg_lambda', 0.001), ('subsample', 0.5000000000000001), ('subsample_freq', 30)])",-526.2568695017309,-522.5819444746302,-612.5044688362765,-550.2414297128981,-565.8251645355109,-547.0085141031369,-593.8813216725321,-527.6762732427026,-544.4713499328753,-538.2620391859333,-552.8709375198227,28.26938235827109,4,-264.0464306069269,-266.7878725857241,-264.01755886528264,-263.2194014125596,-263.8436633423407,-263.0027036244795,-262.16197880181096,-265.61251365623343,-262.4080823516566,-261.10449397483313,-263.6204699221847,1.5766839059514004,6
