,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_grow_policy,param_l2_leaf_reg,param_max_depth,param_num_trees,param_score_function,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,rank_train_score
0,28.306720590591432,8.46791746313961,0.11842617988586426,0.02758746361754769,Depthwise,0.1,8,310,L2,"OrderedDict([('grow_policy', 'Depthwise'), ('l2_leaf_reg', 0.1), ('max_depth', 8), ('num_trees', 310), ('score_function', 'L2')])",-501.02520973623643,-556.2406189871539,-531.1497496424694,-525.2769867451531,-528.1397830674086,-528.3664696356843,17.5604990469205,8,-339.8528986654974,-338.2638953651857,-344.1109527931745,-339.8758675176494,-341.75823194251,-340.7723692568034,2.0029801829227907,8
1,8.484350776672363,2.140566758153079,0.019278430938720705,0.0040229874234322316,SymmetricTree,1.0,4,910,L2,"OrderedDict([('grow_policy', 'SymmetricTree'), ('l2_leaf_reg', 1.0), ('max_depth', 4), ('num_trees', 910), ('score_function', 'L2')])",-533.5293116940095,-573.0053179143206,-558.0001646640063,-551.4174279608497,-548.9502473571026,-552.9804939180578,12.831408519105295,16,-521.9849968449927,-512.1495065292321,-517.9925615384433,-516.4512502663888,-517.3024926072128,-517.1761615572539,3.149607037026429,16
2,4.686728239059448,1.2047416517166833,0.05854873657226563,0.016292245559903874,Depthwise,1.0,2,410,Cosine,"OrderedDict([('grow_policy', 'Depthwise'), ('l2_leaf_reg', 1.0), ('max_depth', 2), ('num_trees', 410), ('score_function', 'Cosine')])",-741.0659918323498,-788.7249274126355,-779.1671504637931,-769.5641144230135,-749.6017435088648,-765.6247855281313,17.846023302798038,19,-760.5091012540906,-751.2675540099502,-748.9071608464966,-754.8372018683152,-761.3810023343543,-755.3804040626414,4.927965024536409,19
3,9.401614665985107,2.3906939423703477,0.02385997772216797,0.0077538937499401946,SymmetricTree,0.01,6,710,L2,"OrderedDict([('grow_policy', 'SymmetricTree'), ('l2_leaf_reg', 0.01), ('max_depth', 6), ('num_trees', 710), ('score_function', 'L2')])",-515.2311658712805,-555.7948488596452,-546.6474037836382,-536.261247918609,-534.2689174106869,-537.6407167687719,13.60994386177729,12,-477.5961551594151,-471.1395081232691,-477.1605433782246,-475.35288837916806,-475.9238925467217,-475.43459751735975,2.2954345761453028,12
4,8.372676515579224,2.044060208047528,0.019522857666015626,0.006996786724124472,SymmetricTree,0.01,6,610,L2,"OrderedDict([('grow_policy', 'SymmetricTree'), ('l2_leaf_reg', 0.01), ('max_depth', 6), ('num_trees', 610), ('score_function', 'L2')])",-517.7737716370194,-558.8337417996563,-549.042381681928,-538.0348929271861,-535.7865016739197,-539.894257943942,13.79883350823944,13,-487.0582967875081,-480.39688769730725,-486.5979932439849,-484.33555039630943,-484.73773014986983,-484.6252916549959,2.357416296522194,14
5,1.543984317779541,0.38416003423775125,0.009457635879516601,0.0034656809899862623,SymmetricTree,1.0,2,210,L2,"OrderedDict([('grow_policy', 'SymmetricTree'), ('l2_leaf_reg', 1.0), ('max_depth', 2), ('num_trees', 210), ('score_function', 'L2')])",-933.844614651736,-1005.4363069234887,-982.075691577937,-960.4456972741882,-947.1658432636647,-965.793630738203,25.428258956309378,20,-963.8532472363092,-954.1904842222328,-951.810093695466,-958.902045577905,-963.9990649427903,-958.5509871349407,4.947168604917588,20
6,7.246396875381469,1.7607285478430263,0.021158552169799803,0.006359694008884951,SymmetricTree,0.1,4,810,L2,"OrderedDict([('grow_policy', 'SymmetricTree'), ('l2_leaf_reg', 0.1), ('max_depth', 4), ('num_trees', 810), ('score_function', 'L2')])",-534.26865787041,-575.7092608102463,-560.6970725071455,-554.0831380076208,-551.288879950787,-555.209401829242,13.457432647090448,17,-523.3329319614617,-514.7027362347171,-519.6213962170737,-517.746454025686,-520.4101144016472,-519.1627265681171,2.865460136357105,17
7,7.762688255310058,1.9099454827311317,0.02198925018310547,0.006845798385111826,SymmetricTree,1.0,4,810,Cosine,"OrderedDict([('grow_policy', 'SymmetricTree'), ('l2_leaf_reg', 1.0), ('max_depth', 4), ('num_trees', 810), ('score_function', 'Cosine')])",-534.7654858133809,-576.4820997161868,-561.8779797601886,-557.9427018943472,-550.804201279697,-556.37449369276,13.67509294264101,18,-530.1745654769729,-523.318858139533,-530.252973803608,-525.4518154699094,-526.4652103073944,-527.1326846394836,2.713129529461719,18
8,8.9914044380188,2.373658265506054,0.020156478881835936,0.007234551613322659,SymmetricTree,0.1,8,410,Cosine,"OrderedDict([('grow_policy', 'SymmetricTree'), ('l2_leaf_reg', 0.1), ('max_depth', 8), ('num_trees', 410), ('score_function', 'Cosine')])",-516.6519457954503,-562.620784646921,-557.8879274516578,-545.0251501906756,-535.8835624822636,-543.6138741133936,16.454216744869584,14,-482.4242941249126,-474.3110205088629,-480.53641769348394,-478.1646745810364,-480.68319283829993,-479.2239199493192,2.8054626790966646,13
9,8.399700260162353,2.3612960282854334,0.070033597946167,0.019306204123015154,Depthwise,0.1,6,210,L2,"OrderedDict([('grow_policy', 'Depthwise'), ('l2_leaf_reg', 0.1), ('max_depth', 6), ('num_trees', 210), ('score_function', 'L2')])",-517.4033632127573,-558.9584669004931,-541.8617096821001,-532.3783260396399,-531.7682264155145,-536.474018450101,13.690775764033331,11,-478.69646169168436,-468.04840543479526,-476.3587213857531,-475.80916129767235,-475.1988459203077,-474.82231914604256,3.5880649135024156,11
10,10.272866821289062,2.7004892373953826,0.10991764068603516,0.02991615521126389,Depthwise,0.1,4,510,Cosine,"OrderedDict([('grow_policy', 'Depthwise'), ('l2_leaf_reg', 0.1), ('max_depth', 4), ('num_trees', 510), ('score_function', 'Cosine')])",-527.3228193889569,-570.2828978636727,-552.2163493884877,-544.579980554041,-546.3304871786928,-548.1465068747701,13.829153424124273,15,-512.4724945944143,-502.84744944330265,-510.29107457700513,-506.3626129702221,-508.30733301210137,-508.0561929194091,3.3033531297286585,15
11,35.57481417655945,10.456366749327417,0.13856325149536133,0.024317693592281715,Depthwise,0.1,8,410,Cosine,"OrderedDict([('grow_policy', 'Depthwise'), ('l2_leaf_reg', 0.1), ('max_depth', 8), ('num_trees', 410), ('score_function', 'Cosine')])",-501.63871013440024,-557.1767528207054,-545.293825902918,-530.1125419577785,-529.4656199373628,-532.737490150633,18.652982247279365,10,-376.1084693380285,-372.62317877572923,-379.10655421731883,-375.23784485457867,-375.3943608621748,-375.694081609566,2.075818643622248,10
12,30.33359088897705,9.2873789773838,0.12062110900878906,0.031856933255639264,Depthwise,0.01,8,310,L2,"OrderedDict([('grow_policy', 'Depthwise'), ('l2_leaf_reg', 0.01), ('max_depth', 8), ('num_trees', 310), ('score_function', 'L2')])",-500.3044872564205,-557.9587245274491,-529.8140344340679,-525.4550721768685,-527.6236467118827,-528.2311930213376,18.298679573817292,2,-341.07097314595336,-331.85138071073476,-342.37659483274354,-338.6797016629072,-340.9229434392893,-338.9803187583256,3.7574311947847154,2
13,38.63976125717163,11.444175670607654,0.14696331024169923,0.032159778723169274,Depthwise,0.01,8,410,L2,"OrderedDict([('grow_policy', 'Depthwise'), ('l2_leaf_reg', 0.01), ('max_depth', 8), ('num_trees', 410), ('score_function', 'L2')])",-501.84412103736804,-558.5287785854869,-530.1949497413942,-527.7607894727291,-527.94837515696,-529.2554027987876,17.961814142572223,9,-306.35413580810723,-301.5704227984578,-308.61176485515097,-307.1601069728843,-306.8185040139651,-306.10298688971307,2.3887506159394634,1
14,28.591519689559938,8.33371992963647,0.11779885292053223,0.023409156649669804,Depthwise,0.01,8,310,L2,"OrderedDict([('grow_policy', 'Depthwise'), ('l2_leaf_reg', 0.01), ('max_depth', 8), ('num_trees', 310), ('score_function', 'L2')])",-500.3044872564205,-557.9587245274491,-529.8140344340679,-525.4550721768685,-527.6236467118827,-528.2311930213376,18.298679573817292,2,-341.07097314595336,-331.85138071073476,-342.37659483274354,-338.6797016629072,-340.9229434392893,-338.9803187583256,3.7574311947847154,2
15,29.037463760375978,8.562885676285259,0.11202936172485352,0.02817260625695463,Depthwise,0.01,8,310,L2,"OrderedDict([('grow_policy', 'Depthwise'), ('l2_leaf_reg', 0.01), ('max_depth', 8), ('num_trees', 310), ('score_function', 'L2')])",-500.3044872564205,-557.9587245274491,-529.8140344340679,-525.4550721768685,-527.6236467118827,-528.2311930213376,18.298679573817292,2,-341.07097314595336,-331.85138071073476,-342.37659483274354,-338.6797016629072,-340.9229434392893,-338.9803187583256,3.7574311947847154,2
16,30.057472372055052,9.023919137547074,0.11389317512512206,0.023495040184388187,Depthwise,0.01,8,310,L2,"OrderedDict([('grow_policy', 'Depthwise'), ('l2_leaf_reg', 0.01), ('max_depth', 8), ('num_trees', 310), ('score_function', 'L2')])",-500.3044872564205,-557.9587245274491,-529.8140344340679,-525.4550721768685,-527.6236467118827,-528.2311930213376,18.298679573817292,2,-341.07097314595336,-331.85138071073476,-342.37659483274354,-338.6797016629072,-340.9229434392893,-338.9803187583256,3.7574311947847154,2
17,29.937696552276613,8.885261578181268,0.11955137252807617,0.022901791370643805,Depthwise,0.01,8,310,L2,"OrderedDict([('grow_policy', 'Depthwise'), ('l2_leaf_reg', 0.01), ('max_depth', 8), ('num_trees', 310), ('score_function', 'L2')])",-500.3044872564205,-557.9587245274491,-529.8140344340679,-525.4550721768685,-527.6236467118827,-528.2311930213376,18.298679573817292,2,-341.07097314595336,-331.85138071073476,-342.37659483274354,-338.6797016629072,-340.9229434392893,-338.9803187583256,3.7574311947847154,2
18,29.29173378944397,8.689905694264382,0.11557941436767578,0.028901303931079467,Depthwise,0.01,8,310,L2,"OrderedDict([('grow_policy', 'Depthwise'), ('l2_leaf_reg', 0.01), ('max_depth', 8), ('num_trees', 310), ('score_function', 'L2')])",-500.3044872564205,-557.9587245274491,-529.8140344340679,-525.4550721768685,-527.6236467118827,-528.2311930213376,18.298679573817292,2,-341.07097314595336,-331.85138071073476,-342.37659483274354,-338.6797016629072,-340.9229434392893,-338.9803187583256,3.7574311947847154,2
19,28.62999987602234,8.166354793655959,0.12100324630737305,0.031421171091312594,Depthwise,1.0,8,310,L2,"OrderedDict([('grow_policy', 'Depthwise'), ('l2_leaf_reg', 1.0), ('max_depth', 8), ('num_trees', 310), ('score_function', 'L2')])",-497.8907863652555,-552.3850527318451,-531.893253450604,-525.7219791168014,-528.6769394615659,-527.3136022252144,17.43355891102532,1,-360.66999816381445,-354.90633402568324,-361.4523484641591,-357.6098113947724,-359.8966130907331,-358.90702102783246,2.377154682065853,9
